ID,Cur Stn,"Cur City, State",Cur Division,Cur Train,Model,Model Year,Built Date,Rebuilt Date,HP,Category,Train Service Code,Assign Date,Last Upd,Home Shop,Alt Shop,Power Usage,Home Operating Station,Status,Servicing State,Task Type,FRA Due,FRA Dead,Next LCDI Due,Axles,ADH,SM,AC,DP Code,DP Description,Energy Mgmt,Energy Mgmt Health,ECP Code,ECP Description,CS,LSL,PTC,PTC Health,Slow Speed,Remote Control,Auto Start,Loco Apu,Remote Diag,Fuel Cap,Rail View,Loco Grp,Brake Schedule,Amtrak Clearance,Cell Phn Detection,V/TI,Length,Weight
NS 3609,547A,"Memphis, TN",Alabama (08),,ET44AC,2016,2016-06-01,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,AF,2019-05-08,2019-05-15,2019-05-16,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3613,90653,"Reeses Scanner, OH",Lake (92),188.25,ET44AC,2016,2016-06-01,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,AF,2019-05-23,2019-05-30,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,Y,,"73'2""",432000
NS 0624,10660,"Columbus, OH",Lake (92),,RP-M4C,2016,2016-06-02,,0,Booster IN RD Servic,LA Buckeye OH (FE),2017-06-06,TXIFV,BEL,CON,YL,"Buckeye Yard, OH  (QZ2)",A,,AF,2019-04-28,2019-05-05,2019-04-22,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,Y,Y,,,EMD-AAR,,,,QEI-CMU,0,Y,Y,CCB26,Y,N,,"59'2""",278000
NS 3632,10563,"Portsmouth, OH",Pocahontas (62),,ET44AC,2016,2016-06-02,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-09,2019-06-16,2019-05-26,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3633,17628,"Weller Yard, VA",Pocahontas (62),,ET44AC,2016,2016-06-02,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,AF,2019-04-25,2019-05-02,2019-05-28,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3635,EP70,"Enola, PA",Harrisburg (72),66X.22,ET44AC,2016,2016-06-02,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-13,2019-06-20,2019-05-26,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3631,PT236,"Altoona, PA",Pittsburgh (74),65R.25,ET44AC,2016,2016-06-03,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,AF,2019-06-06,2019-06-13,2019-05-18,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3634,MJ69,"Farrell, PA",Pittsburgh (74),60N.25,ET44AC,2016,2016-06-03,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,IB,MR,2019-05-26,2019-06-02,2019-05-18,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3636,S141,"Asheville, NC",Piedmont (03),,ET44AC,2016,2016-06-03,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,IB,AF,2019-05-04,2019-05-11,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3639,10129,"Crewe, VA",Pocahontas (62),,ET44AC,2016,2016-06-03,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-06,2019-06-13,2019-05-25,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3615,HP113,"Harrisburg, PA",Harrisburg (72),,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-11,2019-06-18,2019-05-26,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3637,240A,"Chattanooga, TN",Alabama (08),201.24,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-22,2019-06-29,2019-05-25,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3638,S141,"Asheville, NC",Piedmont (03),,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-28,2019-07-05,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3640,271W,"Louisville, KY",Illinois (94),,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,RT,MR,2019-06-15,2019-06-22,2019-05-28,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3643,18068,"Carbo, VA",Pocahontas (62),,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-01,2019-06-08,2019-05-19,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3644,156W,"Lyle Scanner, IN",Illinois (94),375.24,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-14,2019-06-21,2019-05-25,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3646,KS103,"Kankakee, IL",Dearborn (76),B11.26,ET44AC,2016,2016-06-09,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,IB,AF,2019-06-12,2019-06-19,2019-04-26,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 8167,148H,"Atlanta, GA",Georgia (04),,ES44AC,2016,2016-06-14,,4400,RD Unit IN RD Service,RD Shaffers Crossing Shop (4X),2016-08-04,TXIFV,SCX,SCX,RD,,A,IS,AF,2019-05-05,2019-05-12,2019-05-21,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3629,385,"Charlotte Inter, NC",Piedmont (03),,ET44AC,2016,2016-06-16,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-18,2019-06-25,2019-05-28,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3641,10215,"Forest Scanner, VA",Pocahontas (62),22A.26,ET44AC,2016,2016-06-16,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-18,2019-06-25,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 8166,PC23,"Conway, PA",Pittsburgh (74),11V.25,ES44AC,2016,2016-06-20,,4400,RD Unit IN RD Service,RD Shaffers Crossing Shop (4X),2016-08-04,TXIFV,SCX,SCX,RD,,A,,MR,2019-06-24,2019-07-01,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3642,EP70,"Enola, PA",Harrisburg (72),,ET44AC,2016,2016-06-21,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,IS,MR,2019-06-18,2019-06-25,2019-05-21,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3645,CD432,"Mishawaka Scanner, IN",Dearborn (76),65K.24,ET44AC,2016,2016-06-21,,4400,RD Unit IN RD Service,RD Duke Power (DP),2016-09-30,TXIFV,SCX,SCX,RD,,A,,AF,2019-06-27,2019-07-04,2019-05-22,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 8168,10NU,"North Yard Scanner, MI",Detroit CSAO (81),31M.26,ES44AC,2016,2016-06-22,,4400,RD Unit IN RD Service,RD Shaffers Crossing Shop (4X),2016-08-04,TXIFV,SCX,SCX,RD,,A,,AF,2019-07-08,2019-07-15,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 0891,242H,"Macon, GA",Georgia (04),GM03.26,RPU6D,2016,2016-06-29,,0,Booster IN YD Servic,GA Macon Hump (MK),2018-06-14,TXIFV,MAC,INM,YL,"Macon, GA  (242H)",A,,AN,2019-07-30,2019-08-06,2019-05-25,6,Low,,,N,Not Equipped,,,N,Not Equipped,,,,,CAN-LAAR,Beltpack (Canac/Cattron),,,NEQ,0,N,Y,CCB26,N,N,,"65'8""",374376
NS 0622,LC57,"Tarentum, PA",Pittsburgh (74),,RP-M4C,2016,2016-08-01,,0,Booster IN RD Servic,PB Pittsburgh Division (PB),2016-09-08,TXIFV,CON,CON,YL,,A,,AF,2019-06-05,2019-06-12,2019-05-23,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,Y,Y,,,,,,,QEI-CMU,0,Y,Y,CCB26,N,N,,"59'2""",278000
NS 0623,LB87,"Allentown, PA",Harrisburg (72),,RP-M4C,2016,2016-10-05,,0,Booster IN RD Servic,HB Allentown PA (AL),2016-11-07,TXIFV,ENO,ENO,YL,"Allentown, PA  (LB87)",A,,AF,2019-07-03,2019-07-10,2019-05-12,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,Y,Y,IETMS,Healthy,,,,,NEQ,0,Y,Y,CCB26,Y,N,,"59'2""",278000
NS 0893,148H,"Atlanta, GA",Georgia (04),,RPU6D,2016,2017-04-12,,0,Booster IN YD Servic,GA Atlanta GA (GA),2017-05-04,TXIFV,INM,CHA,YL,"Atlanta, GA  (148H)",A,RT,MR,2019-09-23,2019-09-30,2019-05-27,6,Low,,,N,Not Equipped,,,N,Not Equipped,,,,,AAR,Beltpack (Canac/Cattron),,,NEQ,0,N,Y,CCB26,N,N,,"65'8""",374376
NS 0894,148H,"Atlanta, GA",Georgia (04),,RPU6D,2016,2017-04-26,,0,Booster IN YD Servic,GA Atlanta GA (GA),2017-05-04,TXIFV,INM,CHA,YL,"Atlanta, GA  (148H)",A,,MR,2019-05-07,2019-05-14,2019-04-05,6,Low,,,N,Not Equipped,,,N,Not Equipped,,,,,AAR,Beltpack (Canac/Cattron),,,NEQ,0,N,Y,CCB26,N,N,,"65'8""",374376
NS 0888,00248,"Bellevue, OH",Lake (92),,RPU6,2015,1971-05-29,2015-05-07,0,Booster IN YD Servic,LA Bellevue Hump/Pb (BV),2018-06-14,TXIFV,BEL,CON,YL,"Bellevue, OH  (00248)",A,,AN,2019-05-09,2019-05-16,,6,Low,,,N,Not Equipped,,,N,Not Equipped,,,,,,,,,NEQ,0,N,Y,26L,N,N,,"65'8""",396000
NS 4701,UW2,"Chicago Ashland Ave, IL",Dearborn (76),,GP33ECO,2015,1980-01-01,2014-12-30,3000,RD Unit IN RD Service,DB Chicago IL (Landers) (qt),2017-04-26,TXIFV,CHI,ELK,YL,"Landers, IL  (09514)",A,,AF,2019-05-12,2019-05-19,2019-01-19,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4703,UW2,"Chicago Ashland Ave, IL",Dearborn (76),BC46.25,GP33ECO,2015,1980-01-01,2015-04-30,3000,RD Unit IN RD Service,DB Chicago IL (Rock Island) (zq),2017-04-26,TXIFV,CHI,ELK,YL,"Rock Island Jct, IL  (00513)",A,,AF,2019-04-30,2019-05-07,2019-05-02,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4704,09514,"Landers, IL",Dearborn (76),,GP33ECO,2015,1980-01-01,2015-09-19,3000,RD Unit IN RD Service,DB Chicago IL (Calumet) (ca),2017-04-26,TXIFV,CHI,ELK,YL,"Calumet, IL  (00518)",A,,AF,2019-07-07,2019-07-14,2019-05-17,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4725,13K,"Krannert, GA",Georgia (04),,GP33ECO,2015,1980-08-31,2015-09-03,3000,RD Unit IN RD Service,GA Krannert GA (KR),2016-08-15,QEGV1,INM,CHA,YL,"Krannert, GA  (13K)",A,,AF,2019-06-23,2019-06-30,2019-05-04,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4716,157H,"South Yard, GA",Georgia (04),,GP33ECO,2015,1980-09-15,2014-12-30,3000,RD Unit IN RD Service,GA East Point GA (EP),2016-02-02,QEGV1,INM,CHA,YL,"East Point, GA  (1288)",A,,AF,2019-04-25,2019-05-02,2019-05-21,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4709,00510,"Chicago, IL",Dearborn (76),,GP33ECO,2015,1980-09-23,2015-12-10,3000,RD Unit IN RD Service,DB Chicago IL (Ashland Ave) (ah),2016-02-16,QEGV1,CHI,ELK,YL,"Chicago Ashland Ave, IL  (UW2)",A,,AF,2019-06-27,2019-07-04,2019-05-18,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4700,00510,"Chicago, IL",Dearborn (76),B15.26,GP33ECO,2015,1980-09-25,2014-10-31,3000,RD Unit IN RD Service,DB Chicago IL (Service Center) (c1),2017-04-26,TXIFV,CHI,ELK,YL,"Hegewisch, IL  (RU4)",A,IB,MR,2019-06-14,2019-06-21,2019-05-10,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4724,157H,"South Yard, GA",Georgia (04),GZ04.26,GP33ECO,2015,1980-10-06,2015-08-30,3000,RD Unit IN RD Service,GA Atlanta GA (GA),2016-02-02,QEGV1,INM,CHA,YL,"Atlanta, GA  (148H)",A,IB,AF,2019-07-02,2019-07-09,2019-05-13,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4722,1288,"East Point, GA",Georgia (04),,GP33ECO,2015,1980-10-22,2015-05-30,3000,RD Unit IN RD Service,GA East Point GA (EP),2016-02-02,QEGV1,INM,CHA,YL,"East Point, GA  (1288)",A,,MR,2019-05-31,2019-06-07,2019-04-25,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4723,148H,"Atlanta, GA",Georgia (04),,GP33ECO,2015,1980-10-22,2015-06-30,3000,RD Unit IN RD Service,GA East Point GA (EP),2016-02-02,QEGV1,INM,CHA,YL,"East Point, GA  (1288)",A,AS,AF,2019-04-17,2019-04-24,2019-03-16,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4720,148H,"Atlanta, GA",Georgia (04),,GP33ECO,2015,1980-11-01,2015-04-30,3000,RD Unit IN RD Service,GA Forest Park GA (FP),2016-02-02,QEGV1,INM,CHA,YL,"Forest Park, GA  (1281)",A,,MR,2019-07-07,2019-07-14,2019-05-23,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4715,148H,"Atlanta, GA",Georgia (04),,GP33ECO,2015,1980-11-03,2014-11-28,3000,RD Unit IN RD Service,GA Atlanta GA (GA),2016-02-02,QEGV1,INM,CHA,YL,"Atlanta, GA  (148H)",A,,AF,2019-07-11,2019-07-18,2019-05-20,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4708,00510,"Chicago, IL",Dearborn (76),,GP33ECO,2015,1980-11-07,2015-11-30,3000,RD Unit IN RD Service,DB Chicago IL (Ashland Ave) (ah),2017-04-26,TXIFV,CHI,ELK,YL,"Chicago Ashland Ave, IL  (UW2)",A,,AF,2019-05-31,2019-06-07,2019-05-21,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4721,1288,"East Point, GA",Georgia (04),GE06.26,GP33ECO,2015,1980-11-08,2015-05-30,3000,RD Unit IN RD Service,GA Atlanta GA (GA),2016-04-26,QEGV1,INM,CHA,YL,"Atlanta, GA  (148H)",A,,AF,2019-05-01,2019-05-08,2019-05-06,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4719,148H,"Atlanta, GA",Georgia (04),,GP33ECO,2015,1980-11-15,2015-04-30,3000,RD Unit IN RD Service,GA East Point GA (EP),2016-02-02,QEGV1,INM,CHA,YL,"East Point, GA  (1288)",A,,MR,2019-06-29,2019-07-06,2019-04-25,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4717,1288,"East Point, GA",Georgia (04),,GP33ECO,2015,1980-11-22,2015-02-27,3000,RD Unit IN RD Service,GA East Point GA (EP),2016-02-02,QEGV1,INM,CHA,YL,"East Point, GA  (1288)",A,,AN,2019-04-20,2019-04-27,2019-05-09,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4705,UW2,"Chicago Ashland Ave, IL",Dearborn (76),,GP33ECO,2015,1980-12-12,2015-10-18,3000,RD Unit IN RD Service,DB Chicago IL (Calumet) (ca),2016-02-16,QEGV1,CHI,ELK,YL,"Calumet, IL  (00518)",A,,AF,2019-04-28,2019-05-05,2019-05-09,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4707,CD517,"Chicago 47th ST TV, IL",Dearborn (76),,GP33ECO,2015,1980-12-15,2015-09-30,3000,RD Unit IN RD Service,DB Chicago IL (Calumet) (ca),2017-04-26,TXIFV,CHI,ELK,YL,"Calumet, IL  (00518)",A,,AF,2019-06-07,2019-06-14,2019-04-17,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4718,1288,"East Point, GA",Georgia (04),,GP33ECO,2015,1981-05-07,2015-02-27,3000,RD Unit IN RD Service,GA East Point GA (EP),2016-02-02,QEGV1,INM,CHA,YL,"East Point, GA  (1288)",A,IB,AF,2019-05-25,2019-06-01,2019-05-12,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4710,00510,"Chicago, IL",Dearborn (76),BH40.25,GP33ECO,2015,1981-05-15,2015-12-15,3000,RD Unit IN RD Service,DB Chicago IL (Ashland Ave) (ah),2017-04-26,TXIFV,CHI,ELK,YL,"Chicago Ashland Ave, IL  (UW2)",A,,AF,2019-07-09,2019-07-16,2019-05-09,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4702,00510,"Chicago, IL",Dearborn (76),,GP33ECO,2015,1981-05-29,2015-02-27,3000,RD Unit IN RD Service,DB Chicago IL (Calumet) (ca),2016-02-16,QEGV1,CHI,ELK,YL,"Calumet, IL  (00518)",A,IC,AF,2019-06-16,2019-06-23,2019-03-01,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
NS 4706,00510,"Chicago, IL",Dearborn (76),,GP33ECO,2015,1981-06-15,2015-10-18,3500,RD Unit IN RD Service,DB Chicago IL (Calumet) (ca),2017-04-26,TXIFV,CHI,ELK,YL,"Calumet, IL  (00518)",A,,AF,2019-06-30,2019-07-07,2019-05-10,4,High,Y,Y,N,Not Equipped,,,N,Not Equipped,,,,,EMD-AAR,Beltpack (Canac/Cattron),Emd Auto Start/Shdwn  Decal 40160487,Sleeper Plug-IN System,QEI-CMU,3500,Y,2,CCB26,N,N,,"59'2""",270000
